ocupacion_observatorio,ocupacion_cuoc_match_1,score_1,ocupacion_cuoc_match_2,score_2,confianza,requiere_revision
Guías de Turismo,GUÍA DE TURISMO,1.068,POLICÍA DE TURISMO,0.865,ALTA,False
9414,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
Operadores de máquinas para la producción de pulpa,OPERADOR DE CONTROL CENTRAL PRODUCCIÓN PULPA / OPERADORA DE CONTROL CENTRAL PRODUCCIÓN PULPA,0.725,OPERADOR DE MÁQUINA DE PRODUCCIÓN DE PULPA DE PAPEL / OPERADORA DE MÁQUINA DE PRODUCCIÓN DE PULPA DE PAPEL,0.716,ALTA,False
8213,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
"Pintores, Escultores y Otros Artistas Visuales",MODELO PARA ESCULTORES / MODELO PARA ESCULTORAS,0.605,ASISTENTE DE MAQUILLAJE DE ARTISTAS / ASISTENTA DE MAQUILLAJE DE ARTISTAS,0.544,MEDIA,False
Contratistas y Supervisores de Construcción y Otras Ocupaciones de Instalación y Reparación,SUPERVISOR DE CONSTRUCCIÓN INSTALACIÓN Y REPARACIÓN / SUPERVISORA DE CONSTRUCCIÓN INSTALACIÓN Y REPARACIÓN,0.82,SUPERVISOR DE CONSTRUCCIÓN OBRAS CIVILES / SUPERVISORA DE CONSTRUCCIÓN OBRAS CIVILES,0.698,ALTA,False
Mecánicos Industriales,ELECTRICISTA INDUSTRIAL,0.711,GUÍA DE ESTABLECIMIENTOS INDUSTRIALES,0.71,ALTA,False
Otros Artesanos n.c.a.,ARTESANO CERERO / ARTESANA CERERA,0.549,ARTESANO DE OTROS MATERIALES / ARTESANA DE OTROS MATERIALES,0.542,MEDIA,True
Auxiliares en Automatización e Instrumentación Industrial,TECNÓLOGO EN AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL / TECNÓLOGA EN AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL,0.961,INGENIERO DE AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL / INGENIERA DE AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL,0.95,ALTA,False
8382,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Contratistas y Supervisores de Instalación de Tuberías,SUPERVISOR DE INSTALACIÓN DE TUBERÍAS / SUPERVISORA DE INSTALACIÓN DE TUBERÍAS,0.765,INSPECTOR DE INSTALACIÓN DE TUBERÍAS / INSPECTORA DE INSTALACIÓN DE TUBERÍAS,0.712,ALTA,False
Asistentes Legales y Afines,ASISTENTE LEGAL / ASISTENTA LEGAL,0.712,AGENTE DE VALORES Y ACCIONES,0.691,ALTA,False
"Inspectores de Control de Calidad, Procesamiento de Alimentos y Bebidas - nivel 3",INSPECTOR DE CONTROL DE CALIDAD DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS / INSPECTORA DE CONTROL DE CALIDAD DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.161,INSPECTOR DE CONTROL DE CALIDAD DE ALIMENTOS Y BEBIDAS / INSPECTORA DE CONTROL DE CALIDAD DE ALIMENTOS Y BEBIDAS,1.032,ALTA,False
8425,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Diseñadores Industriales - nivel 1,DISEÑADOR INDUSTRIAL / DISEÑADORA INDUSTRIAL,0.658,DISEÑADOR DE PRODUCTOS INDUSTRIALES / DISEÑADORA DE PRODUCTOS INDUSTRIALES,0.647,MEDIA,False
Técnicos en Biblioteca,AYUDANTE DE BIBLIOTECA,0.736,AUXILIAR DE BIBLIOTECA,0.736,ALTA,False
Otros Auxiliares de Servicios a la Salud,AUXILIAR DE SERVICIOS A VIAJEROS,0.822,AUXILIAR DE SERVICIOS PENSIONALES,0.785,ALTA,False
Operadores de máquinas y trabajadores relacionados con el procesamiento del caucho,OPERADOR DE MÁQUINA DE PROCESAMIENTO DE CAUCHO / OPERADORA DE MÁQUINA DE PROCESAMIENTO DE CAUCHO,0.72,OPERADOR DE FILTROS Y DE PROCESOS QUÍMICOS RELACIONADOS / OPERADORA DE FILTROS Y DE PROCESOS QUÍMICOS RELACIONADOS,0.664,ALTA,False
Bailarines,CLARINETISTA,0.636,BARISTA,0.588,MEDIA,False
0111,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
2146,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
5136,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Meseros y capitán de meseros,CAPITÁN DE MESEROS,0.983,CAPITÁN DE BOMBEROS,0.781,ALTA,False
8343,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Audiólogos y Terapeutas del Lenguaje,TERAPEUTA DEL LENGUAJE,0.859,LOGOPEDA O TERAPEUTA DEL HABLA,0.667,ALTA,False
8364,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Archivistas,ARCHIVISTA,0.952,BARISTA,0.667,ALTA,False
3122,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
9351,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Gerentes de Mantenimiento,ELECTRONICISTA DE MANTENIMIENTO,0.85,AYUDANTE DE MANTENIMIENTO EN MINA,0.79,ALTA,False
Guardafrenos y Otros Operadores Ferroviarios,GUARDAFRENOS DE FERROCARRIL,0.748,GUARDAFRENOS DE TREN,0.631,ALTA,False
Operadores de máquinas para la fabricación de productos de papel,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL,0.946,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL,0.912,ALTA,False
8332,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Gerentes de biblioteca, museo y galería de arte",GERENTE DE BIBLIOTECA / GERENTA DE BIBLIOTECA,0.833,GUÍA DE GALERÍA DE ARTE,0.78,ALTA,False
3311,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Trabajadores en concreto, hormigón y enfoscado","TRABAJADOR DE CONCRETO, HORMIGÓN Y ENFOSCADO / TRABAJADORA DE CONCRETO, HORMIGÓN Y ENFOSCADO",0.912,ENCOFRADOR DE HORMIGÓN / ENCOFRADORA DE HORMIGÓN,0.6,ALTA,False
"Ornamentistas, forjadores y herreros",SUPERVISOR DE ORNAMENTISTAS Y FORJADORES / SUPERVISORA DE ORNAMENTISTAS Y FORJADORES,0.725,SUPERVISOR DE HERREROS Y FORJADORES / SUPERVISORA DE HERREROS Y FORJADORES,0.663,ALTA,False
8217,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
8452,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Obreros y ayudantes en el procesamiento de la madera y producción de pulpa y papel,OBRERO Y AYUDANTE EN EL PROCESAMIENTO DE LA MADERA Y PRODUCCIÓN DE PULPA Y PAPEL / OBRERA Y AYUDANTA EN EL PROCESAMIENTO DE LA MADERA Y PRODUCCIÓN DE PULPA Y PAPEL,1.156,AYUDANTE DE PROCESAMIENTO DE PULPA Y PAPEL,0.961,ALTA,False
Profesionales en organización y administración de las empresas,ESPECIALISTA EN APOYO DE ADMINISTRACIÓN DE LA RED,0.749,PROFESIONAL EN POLÍTICAS DE ADMINISTRACIÓN,0.735,ALTA,False
2123,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
7232,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Operadores de Máquinas para la Fabricación de Productos de Papel,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL,0.946,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL,0.912,ALTA,False
Supervisores de producción agrícola,SUPERVISOR DE PRODUCCIÓN AGRÍCOLA / SUPERVISORA DE PRODUCCIÓN AGRÍCOLA,0.835,AUXILIAR DE PRODUCCIÓN GRÁFICA,0.746,ALTA,False
"Inspectores de Control de Calidad, Tratamiento de Metales y Minerales",INSPECTOR DE CONTROL DE CALIDAD DE TRATAMIENTO DE METALES Y MINERALES / INSPECTORA DE CONTROL DE CALIDAD DE TRATAMIENTO DE METALES Y MINERALES,1.132,AYUDANTE DE HORNO DE TRATAMIENTO DE METALES Y MINERALES,1.064,ALTA,False
Instrumentadores quirúrgicos,INSTRUMENTADOR QUIRÚRGICO / INSTRUMENTADORA QUIRÚRGICA,0.642,INSTRUMENTISTA MÚSICO,0.612,MEDIA,False
Gerentes de compras y adquisiciones,AGENTE DE ADQUISICIONES,0.859,GERENTE DE COMPRAS Y ADQUISICIONES / GERENTA DE COMPRAS Y ADQUISICIONES,0.848,ALTA,False
Agentes de Compras e Intermediarios,AUXILIAR DE COMPRAS E INVENTARIOS,0.876,ANALISTA DE COMPRAS E IMPORTACIONES,0.857,ALTA,False
Analistas y asistentes de servicios financieros,ANALISTA DE SERVICIOS FINANCIEROS,1.025,AUXILIAR DE SERVICIOS FINANCIEROS,0.925,ALTA,False
Agentes de viajes,AGENTE DE VIAJES,1.07,AGENTE DE RESERVA DE VIAJES,0.873,ALTA,False
"Patronistas -Productos de Tela, Cuero y Piel",PATRONISTA DE PRODUCTOS DE CUERO,0.984,PATRONISTA DE PRODUCTOS DE PIEL,0.967,ALTA,False
Coordinadores y productores de eventos y espectáculos,AUXILIAR DE PRODUCCIÓN DE EVENTOS Y ESPECTÁCULOS,0.913,ELECTRICISTA DE EVENTOS Y ESPECTÁCULOS,0.881,ALTA,False
9323,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Supervisores de empleados de apoyo administrativo,AUXILIAR DE APOYO ADMINISTRATIVO EN SALUD,0.778,SUPERVISOR DE PERSONAL DE APOYO ADMINISTRATIVO / SUPERVISORA DE PERSONAL DE APOYO ADMINISTRATIVO,0.756,ALTA,False
Ingenieros químicos,AYUDANTE EN PROCESOS QUÍMICOS,0.725,INGENIERO QUÍMICO / INGENIERA QUÍMICA,0.618,ALTA,False
Auxiliares Administrativos en Salud,AUXILIAR DE APOYO ADMINISTRATIVO EN SALUD,0.968,AUXILIAR DE REGISTRO Y ADMISIONES EN SALUD,0.775,ALTA,False
Ensambladores e inspectores de embarcaciones,INSPECTOR DE RECLAMACIONES / INSPECTORA DE RECLAMACIONES,0.646,ENSAMBLADOR DE EMBARCACIONES / ENSAMBLADORA DE EMBARCACIONES,0.644,MEDIA,False
Inspectores de equipos de transporte e instrumentos de medición,INSPECTOR DE EQUIPOS DE TRANSPORTE E INSTRUMENTOS DE MEDICIÓN / INSPECTORA DE EQUIPOS DE TRANSPORTE E INSTRUMENTOS DE MEDICIÓN,1.149,INSTRUCTOR DE TRANSPORTE / INSTRUCTORA DE TRANSPORTE,0.732,ALTA,False
Gerentes de Servicios de Alojamiento,AGENTE DE SERVICIOS COUNTER,0.798,RECEPCIONISTA DE ALOJAMIENTO,0.787,ALTA,False
Directores y administradores de educación básica y media,DIRECTOR ADMINISTRADOR DE EDUCACIÓN BÁSICA Y MEDIA / DIRECTORA ADMINISTRADORA DE EDUCACIÓN BÁSICA Y MEDIA,0.925,DOCENTE DE EDUCACIÓN BÁSICA SECUNDARIA,0.796,ALTA,False
1332,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Secretarios,SECRETARIO / SECRETARIA,0.667,ESCRIBIENTE DE NOTARIOS,0.588,MEDIA,False
Electricistas residenciales,ELECTRICISTA RESIDENCIAL,0.941,AYUDANTE ELECTRICISTA RESIDENCIAL,0.8,ALTA,False
Reparadores de aparatos electrodomésticos,REPARADOR DE APARATOS ELECTRODOMÉSTICOS / REPARADORA DE APARATOS ELECTRODOMÉSTICOS,0.839,FABRICANTE DE APARATOS ORTOPÉDICOS,0.687,ALTA,False
Obreros y Ayudantes de Producción en Pozos de Petróleo y Gas,AYUDANTE DE PRODUCCIÓN DE POZOS DE PETRÓLEO Y GAS,1.281,OBRERO AYUDANTE DE PRODUCCIÓN EN POZOS DE PETRÓLEO Y GAS / OBRERA AYUDANTE DE PRODUCCIÓN EN POZOS DE PETRÓLEO Y GAS,1.044,ALTA,False
8442,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Técnicos en Promoción y Animación a la Lectura y la Escritura,PROMOTOR Y ANIMADOR A LA LECTURA Y LA ESCRITURA / PROMOTORA Y ANIMADORA A LA LECTURA Y LA ESCRITURA,0.716,MEDIADOR DE PROMOCIÓN DE LECTURA / MEDIADORA DE PROMOCIÓN DE LECTURA,0.7,ALTA,False
8431,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Farmacéuticos y químicos farmacéuticos,FARMACÉUTICO / FARMACÉUTICA,0.781,AUXILIAR EN SERVICIOS FARMACÉUTICOS,0.675,ALTA,False
Arquitectos,ARQUITECTO / ARQUITECTA,0.606,BARITENOR,0.6,MEDIA,False
Ensambladores de Productos Plásticos e Inspectores,PULIDOR DE PRODUCTOS DE PLÁSTICOS / PULIDORA DE PRODUCTOS DE PLÁSTICOS,0.805,ENSAMBLADOR DE PRODUCTOS MECÁNICOS / ENSAMBLADORA DE PRODUCTOS MECÁNICOS,0.745,ALTA,False
"Productores, directores artísticos, coreógrafos y ocupaciones relacionadas",PRODUCTOR DE SHOWS ARTÍSTICOS / PRODUCTORA DE SHOWS ARTÍSTICOS,0.536,PRODUCTOR DE LOCACIONES / PRODUCTORA DE LOCACIONES,0.529,MEDIA,True
Instaladores de Redes de Energía Eléctrica,INSTALADOR DE REDES DE ENERGÍA ELÉCTRICA / INSTALADORA DE REDES DE ENERGÍA ELÉCTRICA,0.94,ELECTRICISTA DE SISTEMA DE ENERGÍA ELÉCTRICA,0.898,ALTA,False
Otras Ocupaciones Técnicas en Terapia y Valoración,ASISTENTE DE AMBULANCIA Y OTRAS OCUPACIONES PARAMÉDICAS / ASISTENTA DE AMBULANCIA Y OTRAS OCUPACIONES PARAMÉDICAS,0.694,ESPECIALISTA EN TERAPIA OCUPACIONAL CLÍNICA,0.616,MEDIA,False
Mercaderistas e impulsadores,IMPULSADOR / IMPULSADORA,0.627,MERCADERISTA MUSICAL,0.625,MEDIA,False
0911,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
3231,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Operadores de control de procesos, fabricación de papel",OPERADOR DE CONTROL DE PROCESOS FABRICACIÓN DE PAPEL / OPERADORA DE CONTROL DE PROCESOS FABRICACIÓN DE PAPEL,1.046,OPERADOR DE CONTROL CENTRAL DE FABRICACIÓN PAPEL / OPERADORA DE CONTROL CENTRAL DE FABRICACIÓN PAPEL,0.862,ALTA,False
1333,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Pre-prensistas de artes gráficas,PRE PRENSISTA DE ARTES GRÁFICAS,1.168,DIBUJANTE DE ARTES GRÁFICAS,0.855,ALTA,False
"Otras ocupaciones técnicas en cine, televisión y artes escénicas nca","ASISTENTE TÉCNICO DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA TÉCNICA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.988,"ASISTENTE DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.959,ALTA,False
Supervisores de Procesamiento Textil,AYUDANTE DE PROCESAMIENTO QUÍMICO,0.709,AYUDANTE DE PROCESAMIENTO DE MADERA,0.692,ALTA,False
Ayudantes de transporte automotor,AYUDANTE DE TRANSPORTE AUTOMOTOR,1.185,AYUDANTE DE TRANSPORTE DE MINERALES,0.806,ALTA,False
Operadores de equipo para limpieza de vías y alcantarillado,CONDUCTOR OPERADOR DE EQUIPO PARA LIMPIEZA DE VÍAS Y ALCANTARILLADO / CONDUCTORA OPERADORA DE EQUIPO PARA LIMPIEZA DE VÍAS Y ALCANTARILLADO,0.979,OPERADOR DE EQUIPO DE LIMPIEZA DE TEXTILES / OPERADORA DE EQUIPO DE LIMPIEZA DE TEXTILES,0.734,ALTA,False
2133,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Otros ingenieros nca,BIOINGENIERO / BIOINGENIERA,0.565,MAYOR GENERAL,0.545,MEDIA,True
Cajeros de servicios financieros,AUXILIAR DE SERVICIOS FINANCIEROS,1.031,ANALISTA DE SERVICIOS FINANCIEROS,1.031,ALTA,False
Médicos generales,AUXILIAR DE SERVICIOS GENERALES,0.725,MAYOR GENERAL,0.667,ALTA,False
Desarrolladores de aplicaciones informáticas y digitales,DESARROLLADOR DE APLICACIONES INFORMÁTICAS / DESARROLLADORA DE APLICACIONES INFORMÁTICAS,0.857,PROGRAMADOR DE APLICACIONES INFORMÁTICAS / PROGRAMADORA DE APLICACIONES INFORMÁTICAS,0.804,ALTA,False
Técnicos ópticos,PIROTÉCNICO / PIROTÉCNICA,0.6,TÉCNICO HD / TÉCNICA HD,0.579,MEDIA,False
Otros Auxiliares de Servicios a la Salud n.c.a.,AUXILIAR DE SERVICIOS A VIAJEROS,0.784,AUXILIAR DE SERVICIOS DE VELACIÓN,0.775,ALTA,False
Panaderos y pasteleros,PASTELERO / PASTELERA,0.714,PANADERO / PANADERA,0.7,ALTA,False
8472,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Vendedores de ventas técnicas,AGENTE DE VENTAS TÉCNICAS,1.015,REPRESENTANTE DE VENTAS TÉCNICAS,0.954,ALTA,False
Otros Ingenieros,AYUDANTE DE OTROS OFICIOS,0.588,AGENTE DE FUTUROS FINANCIEROS,0.578,MEDIA,True
Ingenieros en Construcción y Obras Civiles,INGENIERO DE CONSTRUCCIÓN DE OBRAS CIVILES / INGENIERA DE CONSTRUCCIÓN DE OBRAS CIVILES,0.909,INGENIERO CIVIL DE CONSTRUCCIÓN DE OBRAS CIVILES / INGENIERA CIVIL DE CONSTRUCCIÓN DE OBRAS CIVILES,0.857,ALTA,False
Asistentes Administrativos,ASISTENTE DE AUDITORÍA,0.667,ASISTENTE ADMINISTRATIVO / ASISTENTA ADMINISTRATIVA,0.658,MEDIA,False
Asistentes de Comercio Exterior,AUXILIAR DE COMERCIO EXTERIOR,0.967,AGENTE DE LIQUIDACIÓN DE COMERCIO EXTERIOR,0.912,ALTA,False
Electricistas industriales,ELECTRICISTA INDUSTRIAL,0.939,ELECTRICISTA DE INDUSTRIA PETROLERA,0.787,ALTA,False
Administradores de Servicios de Tecnologías de la Información,ANALISTA DE SERVICIO DE SOPORTE TI (TECNOLOGÍAS DE LA INFORMACIÓN),1.016,ANALISTA DE NEGOCIOS TI (TECNOLOGÍAS DE LA INFORMACIÓN),1.007,ALTA,False
Administradores de servicios de tecnologías de la información,ANALISTA DE SERVICIO DE SOPORTE TI (TECNOLOGÍAS DE LA INFORMACIÓN),1.016,ANALISTA DE NEGOCIOS TI (TECNOLOGÍAS DE LA INFORMACIÓN),1.007,ALTA,False
Técnicos en Electricidad,AYUDANTE DE ELECTRICIDAD,0.767,TÉCNICO DE ELECTRICIDAD / TÉCNICA DE ELECTRICIDAD,0.711,ALTA,False
"Gerentes de ventas, mercadeo y publicidad",AGENTE DE VENTAS Y PUBLICIDAD,1.012,REPRESENTANTE DE VENTAS DE PUBLICIDAD,0.979,ALTA,False
0414,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
Trabajadores de silvicultura y forestación,TRABAJADOR EN SILVICULTURA Y FORESTACIÓN / TRABAJADORA EN SILVICULTURA Y FORESTACIÓN,0.808,TRABAJADOR DE SILVICULTURA / TRABAJADORA DE SILVICULTURA,0.801,ALTA,False
"Geólogos, Geoquímicos y Geofísicos",GEOFÍSICO / GEOFÍSICA,0.642,TECNÓLOGO QUÍMICO / TECNÓLOGA QUÍMICA,0.58,MEDIA,False
2125,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Técnicos de Laboratorio Médico y Patología,TÉCNICO DE LABORATORIO MÉDICO / TÉCNICA DE LABORATORIO MÉDICO,0.886,TÉCNICO DE LABORATORIO DE PATOLOGÍA / TÉCNICA DE LABORATORIO DE PATOLOGÍA,0.796,ALTA,False
Publicistas,PUBLICISTA,0.952,MUEBLISTA,0.7,ALTA,False
Gerentes de Servicios a la Salud,AGENTE DE SERVICIOS AL PASAJERO,0.862,GERENTE DE SERVICIOS A LA SALUD / GERENTA DE SERVICIOS A LA SALUD,0.846,ALTA,False
Manicuristas y Pedicuristas,MANICURISTA PEDICURISTA,0.92,ARTISTA TRAPECISTA,0.622,ALTA,False
"Filósofos, filólogos y afines",FILÓSOFO / FILÓSOFA,0.652,FILÓLOGO / FILÓLOGA,0.652,MEDIA,False
1334,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Auxiliares en Salud pública,AUXILIAR EN SALUD PÚBLICA,1.162,ESPECIALISTA EN SALUD PÚBLICA,0.95,ALTA,False
Auxiliares de Promoción Artística,AUXILIAR DE PROMOCIÓN ARTÍSTICA,1.169,AUXILIAR DE GESTIÓN ARTÍSTICA,0.906,ALTA,False
Trabajadores de Explotación Forestal,TRABAJADOR FORESTAL EN EXPLOTACIÓN / TRABAJADORA FORESTAL EN EXPLOTACIÓN,0.854,TRABAJADOR DE EXPLOTACIÓN FORESTAL / TRABAJADORA DE EXPLOTACIÓN FORESTAL,0.836,ALTA,False
Auxiliares de Tribunales,AUXILIAR DE TRIBUNAL,0.909,AUXILIAR DE MATERIALES,0.826,ALTA,False
2261,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Restauradores y Curadores,RESTAURADOR / RESTAURADORA,0.76,FACTURADOR / FACTURADORA,0.667,ALTA,False
1345,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
0632,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Directores de planta de procesamiento de alimentos y bebidas,AYUDANTE DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.115,DIRECTOR DE PLANTA DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS / DIRECTORA DE PLANTA DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.048,ALTA,False
Trabajadores del Tratamiento de Pieles y Cueros,OPERARIO DE TRATAMIENTO DE PIELES Y CUEROS / OPERARIA DE TRATAMIENTO DE PIELES Y CUEROS,0.856,OPERADOR DE MÁQUINA DE TRATAMIENTO DE PIELES Y CUEROS / OPERADORA DE MÁQUINA DE TRATAMIENTO DE PIELES Y CUEROS,0.8,ALTA,False
Otros Obreros y Ayudantes en Fabricación y Procesamiento n.c.a.,AYUDANTE EN FABRICACIÓN DE PRODUCTOS DE METAL,0.729,AYUDANTE DE FABRICACIÓN DE PRODUCTOS DE CAUCHO,0.723,ALTA,False
Auxiliares de servicios de recreación y deporte,AUXILIAR DE SERVICIOS DE RECREACIÓN Y DEPORTE,1.278,AUXILIAR DE SERVICIOS DE VELACIÓN,0.875,ALTA,False
Avaluadores,LAVAPLATOS,0.667,GUARDA DE VALORES,0.571,MEDIA,False
8368,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Operarios de Acabado de Muebles,SUPERVISOR DE ACABADO DE MUEBLES / SUPERVISORA DE ACABADO DE MUEBLES,0.731,OPERARIO EN ACABADO DE MUEBLES DE MADERA / OPERARIA EN ACABADO DE MUEBLES DE MADERA,0.713,ALTA,False
Pintores y empapeladores,EMPAPELADOR / EMPAPELADORA,0.653,MODELO PARA PINTORES / MODELO PARA PINTORAS,0.615,MEDIA,False
5266,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Auxiliares de salud oral,AUXILIAR EN SALUD ORAL,1.07,AUXILIAR DE HIGIENE ORAL,0.808,ALTA,False
Auxiliares de Avalúo,AUXILIAR DE AVALÚO,1.047,AUXILIAR DE VALORES,0.821,ALTA,False
Operadores de juegos mecánicos y de salón,OPERADOR DE JUEGOS MECÁNICOS Y DE SALÓN / OPERADORA DE JUEGOS MECÁNICOS Y DE SALÓN,0.939,OPERADOR DE JUEGOS MECÁNICOS / OPERADORA DE JUEGOS MECÁNICOS,0.9,ALTA,False
"Supervisores de Perforación y Servicios,Pozos de Petróleo y Gas",CAPATAZ DE PERFORACIÓN DE POZOS DE PETRÓLEO Y GAS,1.039,SUPERVISOR DE PERFORACIÓN Y SERVICIOS DE POZOS DE PETRÓLEO Y GAS / SUPERVISORA DE PERFORACIÓN Y SERVICIOS DE POZOS DE PETRÓLEO Y GAS,0.922,ALTA,False
Obreros y ayudantes en el tratamiento de metales y minerales,AYUDANTE DE TRATAMIENTO DE METALES Y MINERALES,1.149,AYUDANTE DE HORNO DE TRATAMIENTO DE METALES Y MINERALES,1.135,ALTA,False
Traductores e intérpretes,TRADUCTOR / TRADUCTORA,0.609,INSTRUCTOR DE ESQUÍ / INSTRUCTORA DE ESQUÍ,0.576,MEDIA,False
8414,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
"Asistentes de mercadeo, publicidad y comunicaciones",ASISTENTE DE MERCADEO Y PUBLICIDAD / ASISTENTA DE MERCADEO Y PUBLICIDAD,0.85,AGENTE DE VENTAS DE TECNOLOGÍA DE LAS COMUNICACIONES,0.747,ALTA,False
Miembros del poder ejecutivo y legislativo,MIEMBRO DEL PODER EJECUTIVO Y LEGISLATIVO,1.288,MIEMBRO DEL PODER LEGISLATIVO,1.017,ALTA,False
Ocupaciones Profesionales en Relaciones Públicas y Comunicaciones,PROFESIONAL EN RELACIONES PÚBLICAS Y COMUNICACIONES,1.179,PROFESIONAL DE RELACIONES PÚBLICAS,0.846,ALTA,False
